epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1329.43,0.70553,0.25205,0.01264,0.99607,1,0.995,0.75704,0.94066,0.2469,0.01647,6.8454e-05,6.8454e-05,6.8454e-05
92,1343.01,0.74211,0.25604,0.01279,1,0.99675,0.995,0.76537,0.95256,0.24928,0.01656,5.93093e-05,5.93093e-05,5.93093e-05
93,1356.31,0.74614,0.26957,0.01328,0.99905,1,0.995,0.7699,0.94733,0.23801,0.01644,5.11027e-05,5.11027e-05,5.11027e-05
94,1369.15,0.74164,0.26632,0.01203,0.998,1,0.995,0.76685,0.94897,0.23118,0.01649,4.38424e-05,4.38424e-05,4.38424e-05
95,1381.78,0.71466,0.24516,0.01187,0.9978,1,0.995,0.76744,0.94976,0.23045,0.01653,3.75356e-05,3.75356e-05,3.75356e-05
96,1395.92,0.71804,0.23507,0.01219,0.99771,1,0.995,0.76311,0.95567,0.23124,0.01666,3.21885e-05,3.21885e-05,3.21885e-05
97,1408.16,0.70987,0.22393,0.01273,0.99765,1,0.995,0.7602,0.95994,0.23211,0.01674,2.78064e-05,2.78064e-05,2.78064e-05
98,1419.48,0.70916,0.22333,0.0123,0.99764,1,0.995,0.76245,0.95579,0.23151,0.01667,2.43937e-05,2.43937e-05,2.43937e-05
99,1432.55,0.72629,0.22361,0.01303,0.99765,1,0.995,0.76586,0.94384,0.22947,0.01647,2.19535e-05,2.19535e-05,2.19535e-05
100,1446.66,0.72109,0.22685,0.01274,0.99771,1,0.995,0.76355,0.9356,0.2277,0.01637,2.04885e-05,2.04885e-05,2.04885e-05
